objectid,id_punto,nombreestablecimiento,direccion,municipio,barrio,estado,longitud,latitud
558,558,Ganaservicios,CR 45 71 SUR 14,Sabaneta,Sabaneta,En servicio,-75.61625659,6.15089564
559,559,Ganaservicios Envigado,Cr 43 36 SUR 06,Envigado,Envigado,En servicio,-75.58714502,6.17119824
560,560,Ganaservicios Rosellon,CL 40 SUR 28 B 58,Envigado,Envigado,En servicio,-75.58159523,6.16080091
561,561,Guaimaro,TRANSVERSAL 34ASUR N 32B10,Envigado,Envigado,En servicio,-75.58312266,6.16391322
562,562,Guanteros,CL 39 SUR 41 83,Envigado,Envigado,En servicio,-75.58809359,6.16798759
563,563,Jardines,CR 45 A CL 30 SUR 14 ,Envigado,Envigado,En servicio,-75.58660635,6.17781472
564,564,La Florida,CL 40 F SUR 30 3,Envigado,Envigado,En servicio,-75.58471198,6.16065241
565,565,La Isla,CL 71 SUR 44 20,Sabaneta,Sabaneta,En servicio,-75.61599054,6.15085746
566,566,La Mina Qap,CL 40B SUR 26 49,Envigado,Envigado,En servicio,-75.58168578,6.15717937
567,567,La Normal,CL 37 SUR 33 61,Envigado,Envigado,En servicio,-75.58211707,6.16700494
568,568,La Paz 2,CR 42 B 45 B SUR 83,Envigado,Envigado,En servicio,-75.59345911,6.16352891
569,569,La Pio Xii,CR 31 37 SUR 64,Envigado,Envigado,En servicio,-75.58101208,6.16573268
570,570,La Sebastiana,DG 31 34 E SUR 35,Envigado,Envigado,En servicio,-75.57955694,6.170869
571,571,La Universidad,CL 37 SUR 46 A 23,Envigado,Envigado,En servicio,-75.59148967,6.17289668
572,572,La Vaquita Sabaneta,CR 43A 63 SUR 190,Sabaneta,Sabaneta,En servicio,-75.611607,6.152213
573,573,Licorera Distribeta,CR 42 40 C SUR 79,Envigado,Envigado,En servicio,-75.588725,6.167377
574,574,Los Naranjos,TRANSVERSAL 36 SUR 32 04,Envigado,Envigado,En servicio,-75.58083792,6.16827735
575,575,Magnolia 1,DG 32 D TR 33 A SUR 68,Envigado,Envigado,En servicio,-75.58349038,6.173135
576,576,Marceliano Dos,CL 33 B SUR 42 67,Envigado,Envigado,En servicio,-75.58601906,6.17256839
577,577,Merkepaisa Sabaneta,CR 45 69 SUR 25,Sabaneta,Sabaneta,En servicio,-75.61586555,6.15218625
578,578,Mina Parte Baja,CL 40 C SUR 29 16,Envigado,Envigado,En servicio,-75.58283183,6.1606421
579,579,Mini-Mercado La Chica,CR 41 40 G SUR 03,Envigado,Envigado,En servicio,-75.59033788,6.16499841
580,580,Pacho Pinturas,Cl 69 SUR 46 68,Sabaneta,Sabaneta,En servicio,-75.61639508,6.1530914
581,581,Panaderia La Paloma,DG 31D 32 SUR 51,Envigado,Envigado,En servicio,-75.58103137,6.17643068
582,582,Panaderia Prima Pan,CL 46 S 46 A 33,Envigado,Envigado,En servicio,-75.59697787,6.16453756
583,583,Papeleria Mari-A,CR 40 52 B SUR 27,Envigado,Envigado,En servicio,-75.60121241,6.15515717
584,584,Papeleria Y Variedades Estmatre,CL 40 D SUR 40 A 34,Envigado,Envigado,En servicio,-75.57946,6.1548
585,585,Parque  Registraduria,Cl 69 SUR 45 28,Sabaneta,Sabaneta,En servicio,-75.61558994,6.15218288
586,586,Pcell Tecnologia,TRANSVERSAL 32 A SUR  DG 31 D 34,Envigado,Envigado,En servicio,-75.58129,6.17602
587,587,Piccolo,Cr 43 C 68 SUR 02,Sabaneta,Sabaneta,En servicio,-75.61408176,6.15152825
588,588,Prenderia Omega,CL 38 SUR 41 77,Envigado,Envigado,En servicio,-75.58719381,6.16932317
589,589,Presto,CR 42 36 SUR 39,Envigado,Envigado,En servicio,-75.58680027,6.17075188
590,590,Primavera 2,CL 46 SUR 44 37,Envigado,Envigado,En servicio,-75.59655901,6.16424763
591,591,Profamilia,CL 54 43 70,Medellín,Boston,En servicio,-75.56196225,6.25036292
592,592,Restrepo Naranjo,CL 62 SUR 43 c 06,Sabaneta,Sabaneta,En servicio,-75.61062858,6.15456481
593,593,Sala De Internet Cristina,CL 53 SUR 40 77,Envigado,Envigado,En servicio,-75.60646294,6.15915744
594,594,San Mateo 2,TRANSVERSAL 34 D SUR 32 B 02,Envigado,Envigado,En servicio,-75.58196354,6.17143619
595,595,Santa Barbara Iglesia,TRANSVERSAL 34 B SUR 30 A 18,Envigado,Envigado,En servicio,-75.57874719,6.17271306
596,596,Surcell,CL 75 SUR 43 A 36,Envigado,Envigado,En servicio,-75.58834,6.17109
597,597,Terminal Nuevo,CL 77 SUR 47 23,Sabaneta,Sabaneta,En servicio,-75.622798,6.149955
598,598,Terrasanta,Cr 43 56 SUR 09,Sabaneta,Sabaneta,En servicio,-75.60621468,6.1567713
599,599,Tienda Vegetariana,CR 42 33 B SUR 02,Envigado,Envigado,En servicio,-75.58563541,6.17234291
600,600,Ventanas,CR 43 38 SUR 02,Envigado,Envigado,En servicio,-75.58797098,6.16982983
601,601,Villa Grande,CR 43 A SUR 35 LOC 109,Envigado,Envigado,En servicio,-75.58210767,6.18155469
602,602,Zafra Mercados,CR 39 D 46 E SUR 03,Envigado,Envigado,En servicio,-75.59319088,6.15911305
603,603,Bulebar Monterey,CR 49 10 0 INT 112,Medellín,El Poblado,En servicio,-75.57638652,6.21412371
604,604,Burbuja C.C Santa Fe,CR 43 A 7 SUR 130 PISO 3,Medellín,El Poblado,En servicio,-75.572985,6.196826
605,605,Burbuja C.C Santa Fe (2),CR 43 A 7 SUR 130 PISO 3,Medellín,El Poblado,En servicio,-75.572985,6.196826
606,606,Cc Automotriz,CL 23 N 43A 55,Medellín,El Poblado,En servicio,-75.56966562,6.22309843
607,607,Cc Oviedo,CR 43 A 6 SUR 15,Medellín,El Poblado,En servicio,-75.57488985,6.19943724
608,608,Cc Oviedo (2),CR 43 A 6 SUR 15,Medellín,El Poblado,En servicio,-75.57488985,6.19943724
609,609,Centro Comercial Santa Fe,CR 43 A 7 SUR 170 LOC 9063,Medellín,El Poblado,En servicio,-75.573779,6.196848
610,610,El Machetico,CL 9 N 42 – 42,Medellín,El Poblado,En servicio,-75.57023785,6.20964089
611,611,El Rey De La 10,CL 10 N 42 14,Medellín,El Poblado,En servicio,-75.56970968,6.21035302
612,612,El Tesoro,CR 25A 1A SUR 45,Medellín,El Poblado,En servicio,-75.558968,6.197333
613,613,El Tesoro (2),CR 25A 1A SUR 45,Medellín,El Poblado,En servicio,-75.558968,6.197333
614,614,Estacion 210,CL 9 N 42 42,Medellín,El Poblado,En servicio,-75.58208825,6.2137505
615,615,Estacion 213,CL 10 N 48 0 INT 149,Medellín,El Poblado,En servicio,-75.57759052,6.21343031
616,616,Estacion 213 (2),CL 10 N 48 0 INT 149,Medellín,El Poblado,En servicio,-75.57759052,6.21343031
617,617,Gildardo La 10,CL10 N 35 31,Medellín,El Poblado,En servicio,-75.56580401,6.20866639
618,618,La Vaquita Del Poblado,CL 9 SUR 29 D 76,Medellín,El Poblado,En servicio,-75.558898,6.208123
619,619,La Visitacion,CR 32 4 SUR 80,Medellín,El Poblado,En servicio,-75.56561891,6.19654057
620,620,Mall Las Vegas,CRR 48 7 274,Medellín,El Poblado,En servicio,-75.576589,6.209299
621,621,Mall San Lucas,CL 20 SUR 27 115 LOCAL 110,Medellín,El Poblado,En servicio,-75.568824,6.181438
622,622,Maxifruver Las Palmas,CR 38 26 279,Medellín,San Diego,En servicio,-75.565494,6.224716
623,623,Nuevo Ganaservicios Poblado,CR 43A N 10 14,Medellín,El Poblado,En servicio,-75.57049415,6.2106633
624,624,Qap De La 10,CL10 N 43C 17,Medellín,El Poblado,En servicio,-75.57215694,6.21110334
625,625,Qap La 10 (2),CL 10 43 C 17,Medellín,El Poblado,En servicio,-75.57215694,6.21110334
626,626,Riosur,CR 43 A 6 SUR 26,Medellín,El Poblado,En servicio,-75.57363,6.19887
627,627,Tecnologia Sau Paulo Lech,CR 43 A  18 SUR  135,Medellín,El Poblado,Desactivado,-75.5789,6.18503
628,628,Vizcaya,CL 10 32 115 BURBUJA 00145A,Medellín,El Poblado,En servicio,-75.56217,6.20828
629,629,601Almacentro,CR 43 A 34 95 lLOCAL 251,Medellín,La Candelaria,En servicio,-75.59559,6.24261
630,630,Acces Movile A&Y,CR 17 B 56 E 55,Medellín,Enciso,En servicio,-75.540331,6.242037
631,631,Acevedo,CR 52 109 22,Medellín,La Frontera,En servicio,-75.55677603,6.3006687
632,632,Aires De La Honda,0,Medellín,Manrique Oriental,En servicio,-75.53858,6.2665
633,633,Alianza (San Pablo),CR 34 98 05,Medellín,Santo Domingo Savio Nº 1,En servicio,-75.54444497,6.2878691
634,634,Almacen La Esperanza,CL 55 12 105,Medellín,Barrio Caicedo,Desactivado,-75.53809,6.23699
635,635,Alto De Guadalupe,CL 95 A 37 54,Medellín,Manrique Central Nº 1,En servicio,-75.548589,6.264386
636,636,Amador Por Carabobo,CL 45 52 26,Medellín,La Candelaria,En servicio,-75.57126201,6.24621323
637,637,Andalucia Ii,CL 107 47 51,Medellín,Aranjuez,En servicio,-75.55239617,6.29643484
638,638,Aranjuez Metroplus,CL 93 45 A 64,Medellín,Aranjuez,En servicio,-75.55324293,6.28438021
639,639,Argemiro La 72,CR 45 72 06,Medellín,Manrique Central Nº 1,En servicio,-75.55503489,6.2674365
640,640,Argemiro La 72 (2),CR 45 72 06,Medellín,Manrique Central Nº 1,En servicio,-75.55503489,6.2674365
641,641,Armando Milagrosa,CL 45 30 01,Medellín,La Milagrosa,En servicio,-75.55461329,6.23786328
642,642,Auto Servicio La Honda,CL 71 24 86,Medellín,Manrique Oriental,En servicio,-75.54075,6.26586
643,643,Bar Boyaca,CL 51 49 20,Medellín,La Candelaria,En servicio,-75.56668348,6.24981369
644,644,Bar Damasco,CR 52 35 113,Medellín,La Candelaria,En servicio,-75.5742935,6.23754731
645,645,Bar y Restaurante Puerto Nuevo,CR 52 39 03,Medellín,La Candelaria,En servicio,-75.57337872,6.24009207
646,646,Bazar De Los Puentes Qap,CL 57 B 51 D 05,Medellín,La Candelaria,En servicio,-75.56707852,6.25606371
647,647,Bazar San Antonio Ph,CL 47 45 87,Medellín,La Candelaria,En servicio,-75.56672403,6.24591965
648,648,Bellanitas Gildardo,CR 37 70 2,Medellín,Manrique Oriental,En servicio,-75.54860266,6.2646744
649,649,Benedan (2),CR 47 N 49 59,Medellín,La Candelaria,En servicio,-75.56650318,6.24801777
650,650,Bicentenario,CL 51 35 45,Medellín,Buenos Aires,En servicio,-75.555803,6.244415
651,651,Billar Nancy,CRA 50 B CL 123 8,Medellín,La Frontera,Desactivado,-75.55304,6.30604
652,652,Bingo Junin,CR 49 52 81 PISO 3 LOCAL 336,Medellín,La Candelaria,En servicio,-75.56595,6.25082
653,653,Boyaca Qap (2),CL 51 51 66 ,Medellín,La Candelaria,En servicio,-75.56864448,6.25069349
654,654,Bulebar Peru,CR 46 55 34,Medellín,La Candelaria,En servicio,-75.56301436,6.25211997
655,655,C.C Comercial Av. Oriental,CR 46 54 89,Medellín,La Candelaria,En servicio,-75.56338896,6.25178531
656,656,C/Comercial Veracruz Confeciones,CR 52 51 44,Medellín,La Candelaria,En servicio,-75.569218,6.25101549
657,657,C/Comercial Veracruz Confeciones (2),CR 52 51 44,Medellín,La Candelaria,En servicio,-75.569218,6.25101549
658,658,Café Pilsen,CR 50 51 04,Medellín,La Candelaria,En servicio,-75.56758211,6.25021061
659,659,Cafeteria El Ranchito Gig,CR 47 52 176,Medellín,La Candelaria,En servicio,-75.56491548,6.25088469
660,660,Campo Valdes,CR 49 82 34,Medellín,Aranjuez,En servicio,-75.55766595,6.27541038
661,661,Carlos Uribe,CL 85 46 A 1,Medellín,Manrique Central Nº 1,En servicio,-75.55490882,6.27722854
662,662,Carniceria,CL 20 E 43 C 13,Medellín,La Frontera,En servicio,-75.55385676,6.30864194
663,663,Carpinelo,CR 23 96 13,Medellín,Santo Domingo Savio Nº 1,En servicio,-75.53826196,6.28639566
664,664,Casa De Familia,CR 52 98 3,Medellín,Aranjuez,En servicio,-75.56230404,6.29160833
665,665,Casa De La Cultura,CL 99 50 C 24,Medellín,Aranjuez,En servicio,-75.55953438,6.29192583
666,666,Casino Circus,CL 53 53 62,Medellín,La Candelaria,En servicio,-75.56988219,6.25325659
667,667,Centro De Servicios D.J.V,CL 99 A 25 C 53,Medellín,Santo Domingo Savio Nº 1,En servicio,-75.54040048,6.28755669
668,668,Charcuteria La Polonesa,CL 55 47 34,Medellín,La Candelaria,En servicio,-75.56405604,6.25262221
669,669,Claro De Luna,CR 49 A 93 29,Medellín,Aranjuez,En servicio,-75.55682193,6.28484581
670,670,Clinica El Rosario Pto Vta Le Apuesto,CR 41 63 A 43,Medellín,Villa Hermosa,En servicio,-75.5553913,6.25635899
671,671,Comercio Salvador,CL 40 38 16,Medellín,El Salvador,En servicio,-75.56187,6.23806
672,672,Cuatro Esquinas,CR 5 46 12,Medellín,Moravia,En servicio,-75.55993707,6.26911796
673,673,Distraerte,CL 79 50B 27,Medellín,Moravia,En servicio,-75.5604778,6.2729308
674,674,Drogueria Vitalicia,CR 39 81 04,Medellín,Las Granjas,En servicio,-75.548676,6.2727277
675,675,E Tecnology,CRA 30 CL 40A 91,Medellín,La Milagrosa,En servicio,-75.55989,6.23674
676,676,Ed Trebol,CR 46 55 95,Medellín,La Candelaria,En servicio,-75.5629572,6.25249132
677,677,Eds Enciso,CR 28 59 – 45,Medellín,Enciso,En servicio,-75.548431,6.250468
678,678,El Chorro,CR 33 A A 38 B 25,Medellín,El Salvador,En servicio,-75.55917559,6.23579252
679,679,El Dorado (2),CR 52 45 29 LOC 107,Medellín,La Candelaria,En servicio,-75.57101587,6.24676954
680,680,El Galerita,CR 42 B 110 BB 59,Medellín,Popular,En servicio,-75.54606,6.299731
681,681,El Morcillero,CR 42B 107C 47,Medellín,Popular,Desactivado,-75.54783164,6.29589533
682,682,El Museo,CR 51 B 86 03,Medellín,Moravia,En servicio,-75.56239593,6.27916759
683,683,El Plan,CL 49 7 44,Medellín,Buenos Aires,En servicio,-75.536971,6.230966
684,684,Enciso Las Delicias,CL 57 19 208,Medellín,Enciso,En servicio,-75.54285972,6.24905717
685,685,Estacion Manrique,CR 4580 04,Medellín,Manrique Central Nº 1,En servicio,-75.554178,6.272797
686,686,Estacion Parque De Berrio (Bazar),CR 51 50 27 LOC 68,Medellín,La Candelaria,En servicio,-75.56861473,6.24993579
687,687,Estacion Pinal,CL 56 E 25 A 14,Medellín,Enciso,En servicio,-75.54298,6.244268
688,688,Euro Palma Grande,CL 19 38 75 ,Medellín,San Diego,En servicio,-75.566492,6.2203
689,689,Exito Express,CR 51 53 67,Medellín,La Candelaria,En servicio,-75.56775143,6.25321735
690,690,Faro Del Rio,CL 65 56 A 08,Medellín,Sevilla,En servicio,-75.57109452,6.26388796
691,691,Fenalco,CL 50 42 54,Medellín,La Candelaria,En servicio,-75.5625,6.24725
692,692,Fereteria Bolivar,CL 50 52 73,Medellín,La Candelaria,En servicio,-75.57013378,6.25037988
693,693,Fiscalia,CL 53 49 148,Medellín,La Candelaria,En servicio,-75.56660001,6.25233831
694,694,Flamingo Parque Berrio,CL 51 50 34,Medellín,La Candelaria,En servicio,-75.56793768,6.25043122
695,695,Full El Bosque # 2,CL 79 55B 143,Medellín,Moravia,En servicio,-75.56658991,6.27441837
696,696,Gaitan Qap,CR 37 N 71 4,Medellín,Manrique Oriental,En servicio,-75.54847191,6.26574866
697,697,Gana Expres Las Palmas,MALL INDIANA GLORIETA,Envigado,Las Palmas,En servicio,-75.53333,6.153292
698,698,Gana La 100,CL 100 47 59,Medellín,Aranjuez,En servicio,-75.55445915,6.29123677
699,699,Gana Servicio Parque Berrio,CL 50 51 65,Medellín,La Candelaria,En servicio,-75.5691929,6.24991463
700,700,Gana Servicios Alpujarra (2),CL 44 51 45,Medellín,La Candelaria,En servicio,-75.57114406,6.24469232
701,701,Gana Servicios Andalucia,CR 49 C 106 91,Medellín,Aranjuez,En servicio,-75.55508277,6.29784368
702,702,Gana Servicios Aranjuez,CR 49 94 11,Medellín,Aranjuez,En servicio,-75.55614062,6.28594801
703,703,Gana Servicios Bosque,CR 52 78 13,Medellín,Moravia,En servicio,-75.56474272,6.27425354
704,704,Gana Servicios Boston,CR 38 55 59,Medellín,Boston,En servicio,-75.55703928,6.24856182
705,705,Gana Servicios Boyaca,CR 51 52 112,Medellín,La Candelaria,En servicio,-75.56777926,6.25186556
706,706,Gana Servicios Boyaca (2),CR 51 52 112,Medellín,La Candelaria,En servicio,-75.56777926,6.25186556
707,707,Gana Servicios Enciso,CR 30 58 04 ,Medellín,Enciso,En servicio,-75.55032113,6.24928596
708,708,Gana Servicios Gaitan,CR 37 70 38,Medellín,Manrique Oriental,En servicio,-75.54858839,6.26485352
709,709,Gana Servicios Manrique,CR 45 78 80,Medellín,Manrique Central Nº 1,En servicio,-75.55435818,6.27159252
710,710,Gana Servicios Milagrosa,CR 29 42 07,Medellín,La Milagrosa,En servicio,-75.55473047,6.23580452
711,711,Gana Servicios Parque Berrio (1),CL 50 51 65,Medellín,La Candelaria,En servicio,-75.5691929,6.24991463
712,712,Gana Servicios Popular,CR 43A 103 80,Medellín,Popular,En servicio,-75.55035663,6.29310938
713,713,Gana Servicios Salvador,CR 35 A 39 06,Medellín,El Salvador,En servicio,-75.561381,6.23631413
714,714,Gana Servicios San Blas,CRA 36 86B 33,Medellín,Las Granjas,En servicio,-75.54656421,6.27996617
715,715,Gana Servicios San Diego,CR 43 36 03,Medellín,San Diego,En servicio,-75.56942496,6.23562631
716,716,Gana Servicios San Diego (2),CR 43 36 03,Medellín,San Diego,En servicio,-75.56942496,6.23562631
717,717,Gana Servicios Santa Cruz,CR 52 98 10,Medellín,Aranjuez,En servicio,-75.56216031,6.29158355
718,718,Gana Servicios Sevilla,CR 51 C 67 11,Medellín,Sevilla,En servicio,-75.56481054,6.26407862
719,719,Gana Servicios Villa Hermosa,CL 66 39 A 41,Medellín,Villa Hermosa,En servicio,-75.5520536,6.25839311
720,720,Ganaservicios Barrio Caicedo,CR 9 52 54,Medellín,Barrio Caicedo,En servicio,-75.53701,6.23309
721,721,Ganaservicios Boyaca,CR 52 A 50 46,Medellín,La Candelaria,En servicio,-75.56929229,6.25083641
722,722,Ganaservicios Palace (2),CL 49 49 73,Medellín,La Candelaria,En servicio,-75.567318,6.248235
723,723,Gigante Av Oriental (2),CR 46 49 A 03,Medellín,La Candelaria,En servicio,-75.56571824,6.24789688
724,724,Gildardo,CR 45 69 68,Medellín,Manrique Central Nº 1,En servicio,-75.55534263,6.26466911
725,725,Good Nigth,CR 46 45 22,Medellín,La Candelaria,En servicio,-75.56770654,6.24498931
726,726,Granero Chatanoga # 2,CR 48 A N 70 03,Medellín,Manrique Central Nº 1,En servicio,-75.55838809,6.26575806
727,727,Granero La Frontera,CR 50 35 46,Medellín,Buenos Aires,Desactivado,-75.55603504,6.24344232
728,728,Granero La Ventanita,CR 47 81 76,Medellín,Manrique Central Nº 1,En servicio,-75.5556548,6.27444194
729,729,Granero Marta,CR 52 79 87,Medellín,Moravia,Desactivado,-75.5647099,6.27443977
730,730,Gs Premium Plaza,Cra 43 A 30 25 LOCAL 1018,Medellín,La Candelaria,En servicio,-75.57054,6.22923
731,731,Guadalupe Qap,CR 42 B 95 A 11,Medellín,Manrique Central Nº 1,En servicio,-75.55001425,6.28666422
732,732,Guadalupe Qap (2),CR 42 B 95 A 11         ,Medellín,Manrique Central Nº 1,En servicio,-75.55001425,6.28666422
733,733,Heladeria La Locha,CR 51 D 59 04,Medellín,Sevilla,En servicio,-75.56654199,6.25779807
734,734,Heladeria Rondinela,CL 38 51 40,Medellín,La Candelaria,Desactivado,-75.5732319,6.2392128
735,735,Hospital 217 (2),CR 51 66 04,Medellín,Sevilla,En servicio,-75.5635989,6.26326273
736,736,Hospital Zamora,CL 20 E 42 03,Medellín,La Frontera,En servicio,-75.55054825,6.30823724
737,737,Hotel Romanza,CR 45 46 45,Medellín,La Candelaria,En servicio,-75.56631066,6.2451013
738,738,Hotel Samaritano,CR 45 45 31,Medellín,La Candelaria,En servicio,-75.56658666,6.24469085
739,739,Hv Manrique 2,CR 32 75 C 42,Medellín,Manrique Oriental,En servicio,-75.54449412,6.26793948
740,740,Iglesia Moravia 2,CR 57 86 AA 04,Medellín,Moravia,En servicio,-75.566902,6.279611
741,741,Internet,CL 112 63 19,Medellín,Girardot,En servicio,-75.55846799,6.3065057
742,742,Internet Puerta Virtual,CRA 40A 20E 03,Medellín,La Frontera,En servicio,-75.54578,6.30743
743,743,Jardin2,CR 36 86 AD 02,Medellín,Las Granjas,En servicio,-75.54623544,6.27928867
744,744,Juananbu,CL 54 51 19,Medellín,La Candelaria,En servicio,-75.5674769,6.25395099
745,745,Jugar Y Ganar,CL 80 C 55 12,Medellín,Moravia,En servicio,-75.56561972,6.27585479
746,746,Jugar Y Ganar Los Industriales,CR 52 117 97,Medellín,La Frontera,En servicio,-75.55597046,6.30499036
747,747,Jugar Y Ganar San Antonio,CL 48 46 12,Medellín,La Candelaria,En servicio,-75.5665759,6.24692516
748,748,Jugar Y Ganar San Antonio (2),CL 48 46 12,Medellín,La Candelaria,En servicio,-75.5665759,6.24692516
749,749,Junin Le Apuesto,CL 54 47 105 LOCAL 146,Medellín,La Candelaria,En servicio,-75.56471469,6.25193071
750,750,Junin Le Apuesto (2),CL 54 47 105 LOCAL 146,Medellín,La Candelaria,En servicio,-75.56471469,6.25193071
751,751,Jzd Districom,CR 51 89 36,Medellín,Aranjuez,En servicio,-75.56117,6.28153
752,752,La 41,CL 60 40 A 37,Medellín,Villa Hermosa,En servicio,-75.55716469,6.25319672
753,753,La 55,CL 55 F 3 19,Medellín,Barrio Caicedo,En servicio,-75.53044151,6.23583007
754,754,La 78,CL 78 42 98,Medellín,Manrique Central Nº 1,En servicio,-75.5522001,6.27071791
755,755,La 79 Q.A.P,CR 45 79 14,Medellín,Manrique Central Nº 1,En servicio,-75.55427913,6.27203874
756,756,La 82 A Q.A P,CL 82 A 44 100,Medellín,Manrique Central Nº 1,En servicio,-75.55313063,6.27494684
757,757,La Barra Roja,CR 51 70 A 20,Medellín,Moravia,En servicio,-75.56195218,6.2666596
758,758,La Barra San Ignacio,CL 48 44 01,Medellín,La Candelaria,En servicio,-75.56503448,6.24586293
759,759,La Bastilla 3,CR 48 50 81,Medellín,La Candelaria,En servicio,-75.56637121,6.24942907
760,760,La Bodeguita Colombia (2),CL 50 49 52,Medellín,La Candelaria,En servicio,-75.56719313,6.24914728
761,761,La Central,CL 49 21 38 LOCAL 0121,Medellín,Buenos Aires,En servicio,-75.54752,6.23858
762,762,La Central (2),CL 49 21 38 LOCAL 0121,Medellín,Buenos Aires,En servicio,-75.54752,6.23858
763,763,La Cumbre,CR 50 B 124 64,Medellín,La Frontera,En servicio,-75.5524964,6.3070029
764,764,La Esquina De Buenos Aires,CR 35 48A 68,Medellín,Buenos Aires,En servicio,-75.55666784,6.24237083
765,765,La Farma Drogueria,CL 70 47 07,Medellín,Manrique Central Nº 1,En servicio,-75.55659,6.26528
766,766,La Francia,CL 111 49 C 06,Medellín,La Frontera,En servicio,-75.55280449,6.30149866
767,767,La Frontera,CR 50 B 122 3,Medellín,La Frontera,En servicio,-75.555179,6.3055951
768,768,La Mansion,CR 45 65 78,Medellín,Villa Hermosa,En servicio,-75.55622175,6.25941079
769,769,La Mejor Esquina,CL 79 50B 01,Medellín,Moravia,En servicio,-75.5605,6.27299
770,770,La Mila,CL 45 27 51,Medellín,La Milagrosa,En servicio,-75.55265834,6.23621752
771,771,La Pastora,CL 49 N 11C 20,Medellín,Buenos Aires,En servicio,-75.545444,6.23692
772,772,La Playa Rey (2),CL 51 45 27 ,Medellín,La Candelaria,En servicio,-75.56562828,6.24868801
773,773,La Salle,CR 42 B 91 79 INT 101,Medellín,Manrique Central Nº 1,En servicio,-75.5502875,6.28216529
774,774,La Sorpresa,CL 53 51 60,Medellín,La Candelaria,En servicio,-75.56816134,6.25262094
775,775,La Ventanita,CR 46 108 A 38,Medellín,Popular,En servicio,-75.54988943,6.29837649
776,776,La Y,CR 49 A 87 134,Medellín,Aranjuez,En servicio,-75.55685917,6.28072543
777,777,Las Mellizas,CL 49 27 56,Medellín,Buenos Aires,En servicio,-75.55065559,6.23977983
778,778,Lauros 2,CRA 46 87 25,Medellín,Manrique Central Nº 1,En servicio,-75.55388,6.27986
779,779,Los Palos,CL 56 19 19,Medellín,Enciso,En servicio,-75.54339,6.23919
780,780,Madre Laurita,CR 55 94 C 19,Medellín,Aranjuez,En servicio,-75.564489,6.287139
781,781,Mall San Luis,CL 59 42 24,Medellín,Villa Hermosa,En servicio,-75.55882413,6.25306427
782,782,Manbru,CL 86 41A 47,Medellín,Manrique Central Nº 1,En servicio,-75.549426,6.278033
783,783,Manrique La 39,CR 39 71 AA 17,Medellín,Manrique Oriental,En servicio,-75.548772,6.267586
784,784,Manrique La 43,CL 69 43 01,Medellín,Manrique Central Nº 1,En servicio,-75.55307176,6.26397888
785,785,Maracaibo # 1,CL 53 49 109,Medellín,La Candelaria,En servicio,-75.5666467,6.25219791
786,786,Maracaibo Rey (2),CL 53 46 77,Medellín,La Candelaria,En servicio,-75.56435871,6.25075554
787,787,Maria Cano,CR 36 B 102 C 19,Medellín,Santo Domingo Savio Nº 1,En servicio,-75.544889,6.290963
788,788,Maria Reina,CL 86 44 25 INT 101,Medellín,Manrique Central Nº 1,En servicio,-75.55227006,6.27853366
789,789,Mercados,CL 94 48 33,Medellín,Aranjuez,En servicio,-75.55565261,6.28569972
790,790,Merke Paisa Manrique,CL 67 44 110,Medellín,Manrique Central Nº 1,En servicio,-75.555185,6.263106
791,791,Mirador De Boston,CR 63 36 30,Medellín,Enciso,En servicio,-75.55358,6.253475
792,792,Miraflorez,CL 47 21 05,Medellín,Buenos Aires,En servicio,-75.54873262,6.2365246
793,793,Montallantas,CR 45 85 93,Medellín,Manrique Central Nº 1,En servicio,-75.55330881,6.27831524
794,794,Moviles La 30,CR 30 69 A 43,Medellín,Manrique Oriental,En servicio,-75.54327,6.26391
795,795,Niquia Parte Baja,AV 42 N 57 21,Bello,Bello,En servicio,-75.5484459,6.34049758
796,796,Nueva Bombona,CL 45 N 21 09,Medellín,Buenos Aires,En servicio,-75.548941,6.234986
797,797,Nuevo Andalucia,CR 49A 107 12,Medellín,Aranjuez,En servicio,-75.553424,6.298326
798,798,Nuevo Casino London,CR 51 53 81,Medellín,La Candelaria,En servicio,-75.567776,6.25262
799,799,Nuevo Cerros,CL 46 15B 11,Medellín,Buenos Aires,En servicio,-75.544236,6.232711
800,800,Nuevo Loreto,CL 35 32 32,Medellín,La Milagrosa,En servicio,-75.55874485,6.23223682
801,801,Nutabe Parque,CR 29 A 40 A 79,Medellín,La Milagrosa,En servicio,-75.55565444,6.2350549
802,802,Nutabe Parque (2),CR 29 A 40 A 79         ,Medellín,La Milagrosa,En servicio,-75.55565444,6.2350549
803,803,Nutibara,CL 53 50 17,Medellín,La Candelaria,En servicio,-75.56708006,6.25200684
804,804,Oasis,CR 55 A 89 05,Medellín,Moravia,En servicio,-75.56683394,6.28191844
805,805,Of Le Apuesto Andalucia,CR 46 A 106 A 82,Medellín,Popular,En servicio,-75.55196398,6.29563991
806,806,Of Oro La Francia,CL 110 47 05,Medellín,La Frontera,En servicio,-75.55064219,6.29982138
807,807,Of Pagadiario,CR 43 A 104 63,Medellín,Popular,En servicio,-75.55032733,6.29379758
808,808,Of Rompoy,CR 42 B 118 32,Medellín,Popular,En servicio,-75.54505254,6.30143547
809,809,Ofcina Principal Full,CL 94 49A 29,Medellín,Aranjuez,En servicio,-75.55686887,6.28573182
